gene_name;gi;pident;evalue;description
THTET00000008165;gi|115347|sp|P27393.1|CO4A2_ASCSU;38.095;0.087;"RecName: Full=Collagen alpha-2(IV) chain; Flags: Precursor"
THTET00000008165;gi|115347|sp|P27393.1|CO4A2_ASCSU;40.426;0.095;"RecName: Full=Collagen alpha-2(IV) chain; Flags: Precursor"
THTET00000008165;gi|115347|sp|P27393.1|CO4A2_ASCSU;43.902;0.096;"RecName: Full=Collagen alpha-2(IV) chain; Flags: Precursor"
THTET00000008165;gi|115347|sp|P27393.1|CO4A2_ASCSU;36.364;0.099;"RecName: Full=Collagen alpha-2(IV) chain; Flags: Precursor"
THTET00000008165;gi|115347|sp|P27393.1|CO4A2_ASCSU;36.364;0.13;"RecName: Full=Collagen alpha-2(IV) chain; Flags: Precursor"
THTET00000008165;gi|115347|sp|P27393.1|CO4A2_ASCSU;41.86;0.16;"RecName: Full=Collagen alpha-2(IV) chain; Flags: Precursor"
THTET00000008165;gi|115347|sp|P27393.1|CO4A2_ASCSU;34.884;0.22;"RecName: Full=Collagen alpha-2(IV) chain; Flags: Precursor"
THTET00000008165;gi|115347|sp|P27393.1|CO4A2_ASCSU;40.816;0.26;"RecName: Full=Collagen alpha-2(IV) chain; Flags: Precursor"
THTET00000008165;gi|115347|sp|P27393.1|CO4A2_ASCSU;38.298;0.27;"RecName: Full=Collagen alpha-2(IV) chain; Flags: Precursor"
THTET00000008165;gi|115347|sp|P27393.1|CO4A2_ASCSU;40.476;0.51;"RecName: Full=Collagen alpha-2(IV) chain; Flags: Precursor"
THTET00000008165;gi|115347|sp|P27393.1|CO4A2_ASCSU;40.476;0.56;"RecName: Full=Collagen alpha-2(IV) chain; Flags: Precursor"
THTET00000008165;gi|115347|sp|P27393.1|CO4A2_ASCSU;37.209;0.71;"RecName: Full=Collagen alpha-2(IV) chain; Flags: Precursor"
THTET00000008165;gi|115347|sp|P27393.1|CO4A2_ASCSU;34.783;1.2;"RecName: Full=Collagen alpha-2(IV) chain; Flags: Precursor"
THTET00000008165;gi|115347|sp|P27393.1|CO4A2_ASCSU;36.735;1.6;"RecName: Full=Collagen alpha-2(IV) chain; Flags: Precursor"
THTET00000008272;gi|27805561|sp|Q8WKE6.1|MATK_FAGHA;25.688;0.59;"RecName: Full=Maturase K; AltName: Full=Intron maturase"
THTET00000008451;gi|74620175|sp|Q874Z5.1|OXR1_PODAS;57.254;5.18E-131;RecName: Full=Oxidation resistance protein 1
THTET00000007998;gi|1730705|sp|P53981.1|YNB0_YEAST;54.772;2.05E-85;RecName: Full=Uncharacterized phosphatase YNL010W
THTET00000007663;gi|81449574|sp|Q8DP63.1|PGDA_STRR6;29.245;2.34E-12;"RecName: Full=Peptidoglycan-N-acetylglucosamine deacetylase; Short=Peptidoglycan GlcNAc deacetylase; AltName: Full=Peptidoglycan N-deacetylase; Short=PG N-deacetylase"
THTET00000007739;gi|1075594226|sp|B8NM67.1|USTYA_ASPFN;36.22;9.91E-16;"RecName: Full=Oxidase ustYa; AltName: Full=Ustiloxin B biosynthesis protein Ya"
THTET00000007639;gi|81999921|sp|Q5UPM5.1|YL157_MIMIV;23.129;1.2;RecName: Full=Uncharacterized protein L157 [Acanthamoeba polyphaga mimivirus]
THTET00000008054;gi|52783110|sp|Q6C452.1|MAD1_YARLI;28.752;8.00E-59;"RecName: Full=Spindle assembly checkpoint component MAD1; AltName: Full=Mitotic arrest deficient protein 1"
THTET00000007602;gi|2499715|sp|Q00446.1|PGLR1_COLLN;72.423;0;"RecName: Full=Endopolygalacturonase 1; AltName: Full=Clpg1; AltName: Full=Pectinase; Flags: Precursor"
THTET00000007613;gi|464699|sp|P33453.1|L_UUKS;27.586;0.23;"RecName: Full=RNA-directed RNA polymerase L; Short=Protein L; AltName: Full=Large structural protein; AltName: Full=Replicase; AltName: Full=Transcriptase"
THTET00000007787;gi|189038844|sp|A8FQV1.1|FTHS_SHESH;37.736;0.095;"RecName: Full=Formate--tetrahydrofolate ligase; AltName: Full=Formyltetrahydrofolate synthetase; Short=FHS; Short=FTHFS"
THTET00000008249;gi|61215506|sp|Q6A6N2.1|RS3_PROAC;50;4.6;RecName: Full=30S ribosomal protein S3 [Cutibacterium acnes KPA171202]
THTET00000008261;gi|1352923|sp|P47159.1|YJ94_YEAST;37.85;4.48E-97;RecName: Full=Uncharacterized membrane protein YJR124C
THTET00000008322;gi|51701448|sp|Q9C1W3.1|ERG1_SCHPO;37.363;2.27E-104;"RecName: Full=Probable squalene monooxygenase; AltName: Full=Squalene epoxidase; Short=SE"
THTET00000008219;gi|121739923|sp|Q0CS65.1|ATAL_ASPTN;28.221;1.25E-10;RecName: Full=Acetylaranotin biosynthesis cluster protein L
THTET00000008356;gi|74626858|sp|O74467.1|SET5_SCHPO;29.189;1.39E-13;RecName: Full=SET domain-containing protein 5
THTET00000008222;gi|292495290|sp|A1DJS5.1|XYND_NEOFI;52.124;0;"RecName: Full=Probable exo-1,4-beta-xylosidase xlnD; AltName: Full=1,4-beta-D-xylan xylohydrolase xlnD; AltName: Full=Beta-xylosidase A; AltName: Full=Beta-xylosidase xlnD; AltName: Full=Xylobiase xlnD; Flags: Precursor"
THTET00000008384;gi|74581890|sp|O13690.1|YDYB_SCHPO;33.52;6.16E-25;RecName: Full=PH and SEC7 domain-containing protein C11E3.11c
THTET00000008384;gi|74581890|sp|O13690.1|YDYB_SCHPO;28.866;1.10E-05;RecName: Full=PH and SEC7 domain-containing protein C11E3.11c
THTET00000008384;gi|74581890|sp|O13690.1|YDYB_SCHPO;23.077;0.002;RecName: Full=PH and SEC7 domain-containing protein C11E3.11c
THTET00000008408;gi|74698254|sp|Q9P370.1|BUD20_SCHPO;56.322;8.67E-28;RecName: Full=Zinc finger protein bud20
THTET00000008097;gi|74590486|sp|Q5A4E3.1|OCH1_CANAL;31.399;8.83E-33;"RecName: Full=Initiation-specific alpha-1,6-mannosyltransferase; AltName: Full=Outer chain elongation protein 1"
THTET00000007758;gi|6094488|sp|Q91379.1|NR2E1_CHICK;37.5;1.7;"RecName: Full=Nuclear receptor subfamily 2 group E member 1; AltName: Full=Nuclear receptor TLX; AltName: Full=Protein tailless homolog; Short=Tll"
THTET00000008256;gi|442570017|sp|Q75CM4.2|SBE2_ASHGO;36.585;0.28;RecName: Full=Protein SBE2
THTET00000008348;gi|11131659|sp|O94679.1|CND1_SCHPO;42.735;0;"RecName: Full=Condensin complex subunit 1; AltName: Full=XCAP-D2 homolog; AltName: Full=p128"
THTET00000007741;gi|1042851785|sp|G3Y423.2|YANE_ASPNA;42.06;2.28E-54;"RecName: Full=Probable oxidoreductase yanE; AltName: Full=Yanuthone D synthesis protein E"
THTET00000007875;gi|59799348|sp|P23622.3|CYS14_NEUCR;67.079;0;"RecName: Full=Sulfate permease 2; AltName: Full=Sulfate permease II"
THTET00000008479;gi|156630815|sp|Q2HH37.2|H2A_CHAGB;99.254;1.27E-91;RecName: Full=Histone H2A
THTET00000008184;gi|74865958|sp|Q8MXL9.2|Y5547_DICDI;31.579;7.56E-14;RecName: Full=PA-phosphatase related-family protein DDB_G0275547
THTET00000008520;gi|44888982|sp|P11638.2|QA1F_NEUCR;36.188;4.60E-54;RecName: Full=Quinic acid utilization activator
THTET00000007856;gi|74676327|sp|Q02950.1|RT51_YEAST;27.848;2.55E-05;"RecName: Full=37S ribosomal protein MRP51, mitochondrial; AltName: Full=Mitochondrial small ribosomal subunit protein bS1m"
THTET00000008376;gi|3023956|sp|Q00808.1|HETE1_PODAS;20.782;8.51E-19;RecName: Full=Vegetative incompatibility protein HET-E-1
THTET00000008376;gi|3023956|sp|Q00808.1|HETE1_PODAS;23.596;1.67E-04;RecName: Full=Vegetative incompatibility protein HET-E-1
THTET00000007883;gi|75427676|sp|P77931.1|PVADH_PSESP;27.323;9.48E-33;"RecName: Full=Polyvinylalcohol dehydrogenase; Short=PVA dehydrogenase; Short=PVADH; AltName: Full=Polyvinyl alcohol dehydrogenase (cytochrome); Flags: Precursor"
THTET00000007972;gi|62510806|sp|Q8HXW6.1|PPT1_MACFA;39.542;6.80E-66;"RecName: Full=Palmitoyl-protein thioesterase 1; Short=PPT-1; AltName: Full=Palmitoyl-protein hydrolase 1; Flags: Precursor"
THTET00000007641;gi|1042851785|sp|G3Y423.2|YANE_ASPNA;67.143;6.43E-26;"RecName: Full=Probable oxidoreductase yanE; AltName: Full=Yanuthone D synthesis protein E"
THTET00000008019;gi|127336|sp|P13828.1|MSP1_PLAYO;60;0.001;"RecName: Full=Merozoite surface protein 1; AltName: Full=230 kDa merozoite surface antigen; Short=Py230; AltName: Full=Merozoite surface antigens; AltName: Full=PMMSA; Flags: Precursor"
THTET00000008019;gi|127336|sp|P13828.1|MSP1_PLAYO;47.727;0.13;"RecName: Full=Merozoite surface protein 1; AltName: Full=230 kDa merozoite surface antigen; Short=Py230; AltName: Full=Merozoite surface antigens; AltName: Full=PMMSA; Flags: Precursor"
THTET00000007628;gi|61211702|sp|O54904.2|B3GT1_MOUSE;25.792;2.08E-08;"RecName: Full=Beta-1,3-galactosyltransferase 1; Short=Beta-1,3-GalTase 1; Short=Beta3Gal-T1; Short=Beta3GalT1; AltName: Full=UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase-I; AltName: Full=UDP-galactose:beta-N-acetyl-glucosamine-beta-1,3-galactosyltransferase 1"
THTET00000008062;gi|140398|sp|P25375.1|PRTD_YEAST;41.722;0;"RecName: Full=Saccharolysin; AltName: Full=Oligopeptidase YSCD; AltName: Full=Protease D; AltName: Full=Proteinase yscD"
THTET00000008191;gi|122301225|sp|Q08A51.1|DNAA_SHEFN;25.758;0.31;RecName: Full=Chromosomal replication initiator protein DnaA
THTET00000007793;gi|6225945|sp|O14129.1|RAD55_SCHPO;25.172;6.08E-13;"RecName: Full=DNA repair protein rhp55; AltName: Full=RAD55 homolog"
THTET00000008204;gi|292630888|sp|C8ZI10.1|RSB1_YEAS8;28.308;1.04E-26;RecName: Full=Sphingoid long-chain base transporter RSB1
THTET00000007762;gi|74638881|sp|Q9USZ3.1|RUXE_SCHPO;53.191;2.58E-26;"RecName: Full=Small nuclear ribonucleoprotein E; Short=snRNP-E; AltName: Full=Sm protein E; Short=Sm-E; Short=SmE"
THTET00000007712;gi|18203525|sp|Q9UZA3.1|Y1251_PYRAB;34.862;3.75E-13;RecName: Full=RutC family protein PYRAB12510
THTET00000007933;gi|1064302963|sp|C8VQ72.1|MDPA_EMENI;33.811;5.05E-71;"RecName: Full=Monodictyphenone cluster transcriptional coactivator mdpA; AltName: Full=Monodictyphenone synthesis protein A"
THTET00000008045;gi|171769836|sp|A2SHA4.1|PURA_METPP;30.882;0.43;"RecName: Full=Adenylosuccinate synthetase; Short=AMPSase; Short=AdSS; AltName: Full=IMP--aspartate ligase"
THTET00000007652;gi|75148753|sp|Q84WK5.1|GID8_ARATH;39.111;1.08E-42;RecName: Full=Protein GID8 homolog
THTET00000008186;gi|60389712|sp|Q7N8W2.1|CARA_PHOLL;34.545;0.41;"RecName: Full=Carbamoyl-phosphate synthase small chain; AltName: Full=Carbamoyl-phosphate synthetase glutamine chain"
THTET00000007632;gi|74856369|sp|Q54X82.1|AP1B_DICDI;53.859;0;"RecName: Full=AP-1 complex subunit beta; AltName: Full=Adaptor protein complex AP-1 subunit beta; AltName: Full=Adaptor-related protein complex 1 subunit beta; AltName: Full=Beta-1-adaptin; AltName: Full=Beta-adaptin 1; AltName: Full=Clathrin assembly protein complex 1 beta large chain"
THTET00000007702;gi|387942519|sp|A8T6P4.1|MYRIP_DANRE;42.593;0.008;"RecName: Full=Rab effector MyRIP; AltName: Full=Exophilin-8; AltName: Full=Myosin VIIa- and Rab-interacting protein; AltName: Full=Synaptotagmin-like protein lacking C2 domains C; Short=SlaC2-c; Short=Slp homolog lacking C2 domains c"
THTET00000007823;gi|597502342|sp|G4MZJ4.1|XLNR_MAGO7;70.323;0;"RecName: Full=Xylanolytic transcriptional activator xlnR homolog; AltName: Full=Xylanase regulator 1 homolog"
THTET00000008464;gi|73619465|sp|Q875A7.1|ATG9_PODAS;67.696;0;RecName: Full=Autophagy-related protein 9
THTET00000008177;gi|261263180|sp|A4II20.2|EGR1_XENTR;49.091;1.87E-11;"RecName: Full=Early growth response protein 1; Short=EGR-1"
THTET00000008177;gi|261263180|sp|A4II20.2|EGR1_XENTR;44.681;5.12E-07;"RecName: Full=Early growth response protein 1; Short=EGR-1"
THTET00000007959;gi|97197141|sp|Q4IPX8.1|SYM1_GIBZE;32.099;4.24E-20;RecName: Full=Protein SYM1
THTET00000008447;gi|1723972|sp|P53072.1|TAN1_YEAST;27.419;7.25E-30;RecName: Full=tRNA acetyltransferase TAN1
THTET00000007978;gi|74626848|sp|O74349.1|LTN1_SCHPO;27.071;4.65E-58;"RecName: Full=E3 ubiquitin-protein ligase listerin; AltName: Full=RING-type E3 ubiquitin transferase listerin"
THTET00000007978;gi|74626848|sp|O74349.1|LTN1_SCHPO;24.59;3.49E-08;"RecName: Full=E3 ubiquitin-protein ligase listerin; AltName: Full=RING-type E3 ubiquitin transferase listerin"
THTET00000008070;gi|109896167|sp|Q3SWZ7.1|WAP53_BOVIN;23.303;2.58E-13;"RecName: Full=Telomerase Cajal body protein 1; AltName: Full=WD repeat-containing protein 79; AltName: Full=WD repeat-containing protein WRAP53; AltName: Full=WD40 repeat-containing protein antisense to TP53 gene"
THTET00000008456;gi|1709133|sp|P52918.1|MSN5_YEAST;24.879;4.34E-96;RecName: Full=Protein MSN5
THTET00000007733;gi|74665880|sp|Q4U3Y2.1|HXK1_ASPFU;29.508;7.49E-34;"RecName: Full=Hexokinase-1; AltName: Full=Hexokinase I"
THTET00000008126;gi|81904343|sp|Q9CXP9.1|EXO5_MOUSE;26.984;5.81E-17;"RecName: Full=Exonuclease V; Short=Exo V; Short=mExo5; AltName: Full=Defects in morphology protein 1 homolog"
THTET00000008126;gi|81904343|sp|Q9CXP9.1|EXO5_MOUSE;52.941;2.45E-04;"RecName: Full=Exonuclease V; Short=Exo V; Short=mExo5; AltName: Full=Defects in morphology protein 1 homolog"
THTET00000008314;gi|82184062|sp|Q6GMG8.1|LITAF_DANRE;34.454;5.80E-10;"RecName: Full=Lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog; Short=LPS-induced TNF-alpha factor homolog"
THTET00000008002;gi|81821282|sp|Q5PAQ2.1|NUOH_ANAMM;32.692;1.2;"RecName: Full=NADH-quinone oxidoreductase subunit H; AltName: Full=NADH dehydrogenase I subunit H; AltName: Full=NDH-1 subunit H"
THTET00000007808;gi|332321756|sp|B4GMC9.1|SNMP1_DROPE;31.944;0.46;RecName: Full=Sensory neuron membrane protein 1
THTET00000007659;gi|83288434|sp|Q4IEV5.1|REXO4_GIBZE;59.164;4.36E-125;RecName: Full=RNA exonuclease 4
THTET00000008245;gi|254782371|sp|C0ZG86.1|SYI_BREBN;25;0.12;"RecName: Full=Isoleucine--tRNA ligase; AltName: Full=Isoleucyl-tRNA synthetase; Short=IleRS"
THTET00000007928;gi|442570018|sp|Q75DK1.2|SEC14_ASHGO;28.676;1.85E-33;"RecName: Full=SEC14 cytosolic factor; AltName: Full=Phosphatidylinositol/phosphatidylcholine transfer protein; Short=PI/PC TP"
THTET00000008179;gi|20138019|sp|Q9L9D7.1|COCE_RHOSM;24.923;3.56E-22;RecName: Full=Cocaine esterase
THTET00000008175;gi|1109549473|sp|J4VWM7.1|OPS4_BEAB2;29.235;3.10E-35;"RecName: Full=FAD-dependent monooxygenase OpS4; AltName: Full=Oosporein biosynthesis protein 4; Flags: Precursor"
THTET00000007844;gi|74638722|sp|Q9P6J7.1|YHD3_SCHPO;28.884;3.47E-51;RecName: Full=Uncharacterized MFS-type transporter C1683.03c
THTET00000008164;gi|19855071|sp|P02466.3|CO1A2_RAT;26.493;1.67E-08;"RecName: Full=Collagen alpha-2(I) chain; AltName: Full=Alpha-2 type I collagen; Flags: Precursor"
THTET00000008164;gi|19855071|sp|P02466.3|CO1A2_RAT;29.528;0.077;"RecName: Full=Collagen alpha-2(I) chain; AltName: Full=Alpha-2 type I collagen; Flags: Precursor"
THTET00000007615;gi|728048655|sp|V5NDL4.1|PDH1_AGACM;40.299;9.31E-08;"RecName: Full=Pyranose dehydrogenase; Short=PDH; AltName: Full=Pyranose:quinone oxidoreductase 1; Flags: Precursor"
THTET00000007970;gi|74625902|sp|Q9UT32.1|RL1DB_SCHPO;29.815;4.85E-35;"RecName: Full=Putative ribosome biogenesis protein C8F11.04; AltName: Full=U3 snoRNP-associated protein C8F11.04"
THTET00000008379;gi|74682361|sp|Q5K8R6.1|CXT1_CRYNJ;24.293;6.25E-34;"RecName: Full=Beta-1,2-xylosyltransferase 1; Short=Cxt1p"
THTET00000007924;gi|52782853|sp|O14092.1|HEM1_SCHPO;25.828;0.29;"RecName: Full=5-aminolevulinate synthase, mitochondrial; AltName: Full=5-aminolevulinic acid synthase; AltName: Full=Delta-ALA synthase; AltName: Full=Delta-aminolevulinate synthase; Flags: Precursor"
THTET00000008295;gi|6015106|sp|P78575.1|ERG24_ASCIM;29.412;1.4;"RecName: Full=Delta(14)-sterol reductase; AltName: Full=C-14 sterol reductase; AltName: Full=Sterol C14-reductase"
THTET00000007697;gi|3929359|sp|O42785.1|RASL_COLTR;76.636;1.09E-110;"RecName: Full=Ras-like protein; AltName: Full=Ct-Ras; Flags: Precursor"
THTET00000007706;gi|190410940|sp|B0BNA1.1|SH3Y1_RAT;33.775;9.89E-22;RecName: Full=SH3 domain-containing YSC84-like protein 1
THTET00000007918;gi|21542220|sp|Q967Y7.1|RLA0_EIMTE;45.455;1.6;RecName: Full=60S acidic ribosomal protein P0
THTET00000008288;gi|585446|sp|P38156.1|MAL31_YEAST;32.392;3.73E-91;"RecName: Full=Maltose permease MAL31; AltName: Full=Maltose transport protein MAL31"
THTET00000008038;gi|952543402|sp|D4AMW3.1|A5566_ARTBC;25.731;5.80E-07;"RecName: Full=Uncharacterized secreted protein ARB_05566; Flags: Precursor"
THTET00000008458;gi|74626836|sp|O74311.1|NAA30_SCHPO;56.643;8.76E-49;"RecName: Full=N-alpha-acetyltransferase 30; AltName: Full=N-terminal acetyltransferase C complex catalytic subunit mak3 homolog; AltName: Full=NatC catalytic subunit"
THTET00000007668;gi|1706476|sp|P50027.1|DNAJH_SYNY3;48.352;2.52E-15;RecName: Full=DnAJ-like protein slr0093
THTET00000007686;gi|81342455|sp|O35017.1|YOGA_BACSU;32.653;4.12E-44;RecName: Full=Uncharacterized zinc-type alcohol dehydrogenase-like protein YogA
THTET00000008333;gi|1239396302|sp|A0A1B4XBH0.1|SDNE_SORAA;40.625;3.84E-129;"RecName: Full=Cytochrome P450 monooxygenase sdnE; AltName: Full=Sordarin/hypoxysordarin biosynthesis cluster protein E"
THTET00000008453;gi|121792314|sp|Q2HH63.1|SEC24_CHAGB;91.043;0;RecName: Full=Protein transport protein SEC24
THTET00000007958;gi|1723578|sp|Q10494.1|YDG7_SCHPO;27.481;1.8;RecName: Full=Uncharacterized oxidoreductase C26F1.07
THTET00000008320;gi|74705267|sp|Q4R1C4.1|EBDG_HYPJE;50.624;0;"RecName: Full=Exo-beta-D-glucosaminidase; Flags: Precursor"
THTET00000007851;gi|74625858|sp|Q9USQ0.1|SPO7_SCHPO;36.641;3.98E-20;RecName: Full=Sporulation-specific protein spo7
THTET00000008216;gi|193806544|sp|B2AMJ3.1|TVP38_PODAN;64.583;2.96E-134;RecName: Full=Golgi apparatus membrane protein TVP38
THTET00000007892;gi|74698597|sp|Q9Y7X5.1|UGE1_SCHPO;58.807;3.21E-146;"RecName: Full=UDP-glucose 4-epimerase uge1; AltName: Full=Galactowaldenase"
THTET00000008354;gi|1279751577|sp|A0A084B9Z2.1|SAT4_STACB;26.115;0.008;RecName: Full=Satratoxin biosynthesis SC1 cluster protein 4
THTET00000007780;gi|74666932|sp|Q4WBM1.1|VPS10_ASPFU;24.242;0.47;"RecName: Full=Vacuolar protein sorting/targeting protein 10; AltName: Full=Carboxypeptidase Y receptor; Short=CPY receptor; AltName: Full=Sortilin vps10; AltName: Full=Vacuolar carboxypeptidase sorting receptor vps10; Flags: Precursor"
THTET00000008043;gi|730721|sp|P40996.1|SCD2_SCHPO;37.438;3.31E-109;RecName: Full=Protein scd2/ral3
THTET00000007609;gi|614103460|sp|P9WK86.1|NLHH_MYCTO;34.351;6.47E-30;RecName: Full=Carboxylesterase NlhH
THTET00000007661;gi|19860235|sp|P49731.2|MCM6_SCHPO;45.977;5.96E-16;"RecName: Full=DNA replication licensing factor mcm6; AltName: Full=Minichromosome maintenance protein 6"
THTET00000008224;gi|74656127|sp|Q59QC7.1|UPC2_CANAL;52.5;3.69E-08;RecName: Full=Sterol uptake control protein 2
THTET00000008513;gi|121927463|sp|Q2GMF6.1|JIP5_CHAGB;87.44;0;RecName: Full=WD repeat-containing protein JIP5
THTET00000008023;gi|12585220|sp|Q9V8M5.2|3HIDH_DROME;40.698;7.94E-71;"RecName: Full=Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial; Short=HIBADH; Flags: Precursor"
THTET00000008313;gi|1100152785|sp|N4WR35.1|RED1_COCH4;53.448;2.25E-124;"RecName: Full=NADP-dependent oxidoreductase RED1; AltName: Full=T-toxin biosynthesis protein RED1"
THTET00000008148;gi|121804988|sp|Q2UPB6.1|ACLN_ASPOR;31.068;5.89E-08;RecName: Full=Aspirochlorine biosynthesis protein N
THTET00000008406;gi|74634246|sp|Q6C818.1|RSA3_YARLI;35.714;2.48E-06;RecName: Full=Ribosome assembly protein 3
THTET00000008308;gi|1075594226|sp|B8NM67.1|USTYA_ASPFN;32.787;0.005;"RecName: Full=Oxidase ustYa; AltName: Full=Ustiloxin B biosynthesis protein Ya"
